model_id,Cluster,Attractor
bn_2204,59,14
bn_2205,38,40
bn_2206,59,14
bn_2207,54,28
bn_2208,31,50
bn_2209,31,50
bn_221,54,28
bn_2210,46,21
bn_2211,46,21
bn_2212,31,50
bn_2213,31,50
bn_2214,46,21
bn_2215,46,21
bn_2216,13,8
bn_2217,13,8
bn_2218,6,21
bn_2219,6,21
bn_222,69,6
bn_2220,13,8
bn_2221,13,8
bn_2222,6,21
bn_2223,6,21
bn_2224,47,1
bn_2225,74,49
bn_2226,47,1
bn_2227,8,68
bn_2228,5,14
bn_2229,15,40
bn_223,49,70
bn_2230,5,14
bn_2231,51,28
bn_2232,11,41
bn_2233,26,48
bn_2234,11,41
bn_2235,26,74
bn_2236,24,14
bn_2237,67,40
bn_2238,24,14
bn_2239,68,28
bn_224,7,59
bn_225,31,50
bn_226,19,29
bn_227,7,59
bn_228,31,50
bn_229,19,29
bn_23,64,32
bn_230,3,4
bn_231,46,21
bn_232,27,15
bn_233,3,4
bn_234,46,21
bn_235,27,15
bn_236,7,59
bn_237,31,50
bn_238,19,29
bn_239,7,59
bn_24,29,35
bn_240,31,50
bn_241,19,29
bn_242,3,4
bn_243,46,21
bn_244,27,15
bn_245,3,4
bn_246,46,21
bn_247,27,15
bn_248,21,13
bn_249,13,8
